Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
25-29,27,Doctoral degree,Student,5-10 years,1-2 years,1,,
25-29,27,Master's degree,Student,1-2 years,1-2 years,1,,
25-29,27,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,27,Master's degree,Student,3-5 years,1-2 years,2,,
25-29,27,Some college/university study without earning a bachelor's degree,Student,3-5 years,1-2 years,1,,
25-29,27,Master's degree,Data Engineer,5-10 years,2-3 years,3,,
25-29,27,Master's degree,Business Analyst,3-5 years,2-3 years,2,,
25-29,27,Master's degree,Data Analyst,3-5 years,2-3 years,2,,
25-29,27,Master's degree,Student,3-5 years,2-3 years,2,,
25-29,27,Master's degree,Student,5-10 years,2-3 years,2,,
25-29,27,Doctoral degree,Student,5-10 years,3-4 years,3,,
25-29,27,Doctoral degree,Student,3-5 years,3-4 years,3,,
25-29,27,Master's degree,Student,3-5 years,3-4 years,3,,
25-29,27,Master's degree,Student,5-10 years,3-4 years,3,,
25-29,27,Bachelor's degree,Student,5-10 years,4-5 years,5,,
25-29,27,Master's degree,Student,1-2 years,I do not use machine learning methods,0,,
25-29,27,Some college/university study without earning a bachelor's degree,Currently not employed,5-10 years,I do not use machine learning methods,0,,
25-29,27,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.2,,
25-29,27,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.7,,
25-29,27,Bachelor's degree,Currently not employed,3-5 years,Under 1 year,0.9,,
25-29,27,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.5,,
25-29,27,Doctoral degree,Student,3-5 years,Under 1 year,0.4,,
25-29,27,Master's degree,Currently not employed,< 1 years,Under 1 year,0.7,,
25-29,27,Master's degree,Student,< 1 years,Under 1 year,0.1,,
25-29,27,Master's degree,Student,< 1 years,Under 1 year,0.6,,
25-29,27,Master's degree,Student,1-2 years,Under 1 year,0.5,,
25-29,27,Master's degree,Student,1-2 years,Under 1 year,0.1,,
25-29,27,Master's degree,Currently not employed,< 1 years,Under 1 year,1.0,,
25-29,27,Bachelor's degree,Business Analyst,1-2 years,,,,
25-29,27,Master's degree,Data Analyst,1-2 years,,,,
25-29,27,Master's degree,Software Engineer,5-10 years,,,,
25-29,27,Master's degree,Student,3-5 years,,,,
25-29,27,Master's degree,Student,3-5 years,,,,
25-29,28,Bachelor's degree,Currently not employed,1-2 years,1-2 years,2,,
25-29,28,Doctoral degree,Student,5-10 years,1-2 years,2,,
25-29,28,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,28,Master's degree,Student,3-5 years,1-2 years,1,,
25-29,28,Master's degree,Student,3-5 years,1-2 years,1,,
25-29,28,Master's degree,Student,1-2 years,1-2 years,1,,
25-29,28,Master's degree,Data Scientist,1-2 years,1-2 years,1,,
25-29,28,Master's degree,Student,3-5 years,1-2 years,1,,
25-29,28,Master's degree,Student,1-2 years,1-2 years,2,,
25-29,28,Master's degree,Student,1-2 years,1-2 years,1,,
25-29,28,Doctoral degree,Data Scientist,3-5 years,2-3 years,2,,
25-29,28,Doctoral degree,Student,5-10 years,2-3 years,2,,
25-29,28,Master's degree,Student,1-2 years,2-3 years,2,,
25-29,28,Master's degree,Data Analyst,3-5 years,2-3 years,2,,
25-29,28,Master's degree,Currently not employed,3-5 years,2-3 years,2,,
25-29,28,Doctoral degree,Student,5-10 years,4-5 years,5,,
25-29,28,Master's degree,Student,3-5 years,I do not use machine learning methods,0,,
25-29,28,Master's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
25-29,28,Bachelor's degree,Student,1-2 years,Under 1 year,0.9,,
25-29,28,Bachelor's degree,Currently not employed,1-2 years,Under 1 year,0.9,,
25-29,28,Bachelor's degree,Student,1-2 years,Under 1 year,0.9,,
25-29,28,Doctoral degree,Student,3-5 years,Under 1 year,0.8,,
25-29,28,Master's degree,Student,5-10 years,Under 1 year,0.3,,
25-29,28,Master's degree,Software Engineer,3-5 years,Under 1 year,0.5,,
25-29,28,Bachelor's degree,,,,,,
25-29,28,Bachelor's degree,Currently not employed,I have never written code,,,,
25-29,28,Master's degree,Data Engineer,3-5 years,,,,
25-29,28,Master's degree,Product/Project Manager,< 1 years,,,,
25-29,28,Master's degree,Student,3-5 years,,,,
25-29,28,Master's degree,Data Engineer,3-5 years,,,,
25-29,28,Master's degree,Business Analyst,,,,,
25-29,28,Master's degree,,,,,,
25-29,29,Doctoral degree,Student,1-2 years,1-2 years,2,,
25-29,29,Doctoral degree,Student,3-5 years,1-2 years,1,,
25-29,29,Doctoral degree,Student,3-5 years,1-2 years,1,,
25-29,29,Master's degree,Student,3-5 years,1-2 years,1,,
25-29,29,Master's degree,Student,3-5 years,1-2 years,2,,
25-29,29,Master's degree,Currently not employed,5-10 years,1-2 years,1,,
25-29,29,Master's degree,Student,5-10 years,3-4 years,4,,
25-29,29,Master's degree,Machine Learning Engineer,3-5 years,4-5 years,4,,
25-29,29,Master's degree,Student,3-5 years,4-5 years,4,,
25-29,29,Master's degree,Student,5-10 years,4-5 years,5,,
25-29,29,Bachelor's degree,Software Engineer,< 1 years,I do not use machine learning methods,0,,
25-29,29,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
25-29,29,Master's degree,Student,< 1 years,I do not use machine learning methods,0,,
25-29,29,Master's degree,Currently not employed,1-2 years,I do not use machine learning methods,0,,
25-29,29,Some college/university study without earning a bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
25-29,29,Some college/university study without earning a bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
25-29,29,Bachelor's degree,Student,< 1 years,Under 1 year,0.1,,
25-29,29,Bachelor's degree,Other,< 1 years,Under 1 year,0.1,,
25-29,29,Master's degree,Currently not employed,< 1 years,Under 1 year,0.3,,
25-29,29,Master's degree,Student,< 1 years,Under 1 year,0.9,,
25-29,29,Master's degree,Student,3-5 years,Under 1 year,0.5,,
25-29,29,Master's degree,Student,1-2 years,Under 1 year,0.2,,
25-29,29,Master's degree,Currently not employed,1-2 years,Under 1 year,0.6,,
25-29,29,Master's degree,Student,< 1 years,Under 1 year,0.8,,
25-29,29,Master's degree,Student,3-5 years,Under 1 year,0.8,,
25-29,29,Master's degree,Student,< 1 years,Under 1 year,0.4,,
25-29,29,Master's degree,Student,1-2 years,Under 1 year,0.1,,
25-29,29,Master's degree,Business Analyst,3-5 years,Under 1 year,0.0,,
25-29,29,Bachelor's degree,Student,1-2 years,,,,
25-29,29,Bachelor's degree,Business Analyst,,,,,
25-29,29,Doctoral degree,Student,,,,,
25-29,29,Master's degree,Data Scientist,1-2 years,,,,
25-29,29,Master's degree,Software Engineer,5-10 years,,,,
25-29,29,Master's degree,Other,< 1 years,,,,
25-29,29,No formal education past high school,Currently not employed,1-2 years,,,,
25-29,29,Some college/university study without earning a bachelor's degree,,,,,,
30-34,32,Doctoral degree,Other,20+ years,10-20 years,13,"> $500,000",875419
30-34,30,Doctoral degree,Data Scientist,5-10 years,3-4 years,3,$0-999,286
30-34,30,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.9,$0-999,741
30-34,30,Bachelor's degree,Other,1-2 years,Under 1 year,0.4,$0-999,956
30-34,31,Some college/university study without earning a bachelor's degree,Business Analyst,I have never written code,,,$0-999,418
30-34,31,Master's degree,Data Scientist,1-2 years,Under 1 year,0.3,$0-999,419
30-34,31,Doctoral degree,Other,10-20 years,5-10 years,5,$0-999,840
30-34,32,Master's degree,Data Engineer,10-20 years,1-2 years,1,$0-999,970
30-34,33,Master's degree,Product/Project Manager,10-20 years,1-2 years,2,$0-999,353
30-34,33,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.4,$0-999,956
30-34,34,Doctoral degree,Machine Learning Engineer,3-5 years,1-2 years,1,$0-999,226
30-34,34,Bachelor's degree,Software Engineer,3-5 years,Under 1 year,0.7,$0-999,468
30-34,30,Master's degree,Machine Learning Engineer,1-2 years,1-2 years,2,"1,000-1,999",1073
30-34,33,Doctoral degree,Data Scientist,5-10 years,1-2 years,1,"1,000-1,999",1628
30-34,30,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"10,000-14,999",12779
30-34,31,Master's degree,Product/Project Manager,5-10 years,1-2 years,2,"10,000-14,999",10422
30-34,31,Bachelor's degree,Other,5-10 years,Under 1 year,0.4,"10,000-14,999",10906
30-34,33,Master's degree,Software Engineer,3-5 years,2-3 years,3,"10,000-14,999",10105
30-34,30,Doctoral degree,Software Engineer,5-10 years,1-2 years,2,"100,000-124,999",100889
30-34,30,Master's degree,Data Scientist,5-10 years,3-4 years,4,"100,000-124,999",101099
30-34,30,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"100,000-124,999",102295
30-34,30,Master's degree,Data Scientist,5-10 years,2-3 years,3,"100,000-124,999",103553
30-34,30,Bachelor's degree,Data Analyst,3-5 years,Under 1 year,0.7,"100,000-124,999",105166
30-34,30,Master's degree,Data Scientist,3-5 years,2-3 years,2,"100,000-124,999",106333
30-34,30,Master's degree,Data Scientist,5-10 years,5-10 years,7,"100,000-124,999",108820
30-34,30,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"100,000-124,999",109186
30-34,30,Master's degree,Data Analyst,5-10 years,1-2 years,1,"100,000-124,999",110996
30-34,30,Master's degree,Data Analyst,3-5 years,4-5 years,4,"100,000-124,999",112107
30-34,30,I prefer not to answer,Research Scientist,10-20 years,1-2 years,2,"100,000-124,999",112950
30-34,30,Master's degree,Other,5-10 years,1-2 years,2,"100,000-124,999",114510
30-34,30,Bachelor's degree,Data Analyst,5-10 years,I do not use machine learning methods,0,"100,000-124,999",119465
30-34,30,Bachelor's degree,Other,1-2 years,Under 1 year,0.5,"100,000-124,999",123940
30-34,31,Master's degree,Data Scientist,3-5 years,2-3 years,3,"100,000-124,999",104182
30-34,31,Master's degree,Other,3-5 years,2-3 years,3,"100,000-124,999",104300
30-34,31,Master's degree,Data Analyst,3-5 years,1-2 years,2,"100,000-124,999",104587
30-34,31,Doctoral degree,Data Scientist,5-10 years,3-4 years,3,"100,000-124,999",104971
30-34,31,Bachelor's degree,Other,3-5 years,1-2 years,1,"100,000-124,999",109476
30-34,31,Bachelor's degree,Data Scientist,5-10 years,5-10 years,8,"100,000-124,999",112252
30-34,31,Doctoral degree,Data Scientist,10-20 years,5-10 years,7,"100,000-124,999",113352
30-34,31,Bachelor's degree,Product/Project Manager,3-5 years,2-3 years,3,"100,000-124,999",113962
30-34,31,Master's degree,Business Analyst,3-5 years,Under 1 year,0.5,"100,000-124,999",115585
30-34,31,Master's degree,Data Analyst,3-5 years,Under 1 year,0.9,"100,000-124,999",119078
30-34,31,Master's degree,Data Scientist,3-5 years,2-3 years,3,"100,000-124,999",122705
30-34,32,Master's degree,Other,10-20 years,Under 1 year,0.6,"100,000-124,999",100958
30-34,32,Doctoral degree,Research Scientist,10-20 years,3-4 years,4,"100,000-124,999",101271
30-34,32,Master's degree,Software Engineer,3-5 years,Under 1 year,0.0,"100,000-124,999",101560
30-34,32,Bachelor's degree,Research Scientist,3-5 years,3-4 years,3,"100,000-124,999",112254
30-34,32,Bachelor's degree,Data Scientist,3-5 years,3-4 years,3,"100,000-124,999",113790
30-34,32,Doctoral degree,Statistician,1-2 years,I do not use machine learning methods,0,"100,000-124,999",121811
30-34,32,Master's degree,Software Engineer,1-2 years,I do not use machine learning methods,0,"100,000-124,999",124006
30-34,32,Doctoral degree,Data Scientist,3-5 years,2-3 years,2,"100,000-124,999",124510
30-34,33,Master's degree,Data Engineer,3-5 years,Under 1 year,0.6,"100,000-124,999",102197
30-34,33,Master's degree,Data Engineer,5-10 years,1-2 years,1,"100,000-124,999",102335
30-34,33,Master's degree,Other,< 1 years,I do not use machine learning methods,0,"100,000-124,999",103574
30-34,33,Doctoral degree,Data Scientist,10-20 years,5-10 years,6,"100,000-124,999",105121
30-34,33,Master's degree,Machine Learning Engineer,5-10 years,1-2 years,1,"100,000-124,999",106422
30-34,33,Bachelor's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"100,000-124,999",106596
30-34,33,Doctoral degree,Data Scientist,10-20 years,1-2 years,1,"100,000-124,999",107387
30-34,33,Master's degree,Data Scientist,3-5 years,Under 1 year,0.1,"100,000-124,999",109440
30-34,33,Master's degree,Business Analyst,I have never written code,,,"100,000-124,999",110359
30-34,33,Master's degree,Data Engineer,5-10 years,1-2 years,2,"100,000-124,999",111334
30-34,33,Bachelor's degree,Other,3-5 years,Under 1 year,0.7,"100,000-124,999",120331
30-34,33,Doctoral degree,Data Scientist,5-10 years,5-10 years,10,"100,000-124,999",120894
30-34,34,Master's degree,Data Scientist,3-5 years,3-4 years,4,"100,000-124,999",101595
30-34,34,Doctoral degree,Data Scientist,3-5 years,1-2 years,2,"100,000-124,999",104118
30-34,34,Master's degree,Business Analyst,3-5 years,3-4 years,4,"100,000-124,999",104354
30-34,34,Master's degree,Data Scientist,10-20 years,4-5 years,4,"100,000-124,999",106442
30-34,34,Master's degree,Research Scientist,5-10 years,5-10 years,6,"100,000-124,999",108718
30-34,34,Doctoral degree,Data Scientist,3-5 years,2-3 years,3,"100,000-124,999",109240
30-34,34,Master's degree,Data Scientist,10-20 years,10-20 years,10,"100,000-124,999",109822
30-34,34,Master's degree,Data Engineer,10-20 years,1-2 years,2,"100,000-124,999",112464
30-34,34,Bachelor's degree,Software Engineer,5-10 years,I do not use machine learning methods,0,"100,000-124,999",114091
30-34,34,Bachelor's degree,Software Engineer,3-5 years,2-3 years,2,"100,000-124,999",114147
30-34,34,Master's degree,Data Scientist,3-5 years,4-5 years,4,"100,000-124,999",115791
30-34,34,Doctoral degree,Data Scientist,5-10 years,3-4 years,4,"100,000-124,999",116764
30-34,34,Doctoral degree,Data Scientist,3-5 years,4-5 years,4,"100,000-124,999",117577
30-34,34,Master's degree,Data Scientist,3-5 years,2-3 years,2,"100,000-124,999",120889
30-34,34,Doctoral degree,Data Engineer,5-10 years,I do not use machine learning methods,0,"100,000-124,999",122357
30-34,34,Doctoral degree,Data Scientist,5-10 years,3-4 years,3,"100,000-124,999",122675
30-34,34,Some college/university study without earning a bachelor's degree,Software Engineer,5-10 years,2-3 years,2,"100,000-124,999",124739
30-34,30,Master's degree,Other,1-2 years,2-3 years,3,"125,000-149,999",127428
30-34,30,Master's degree,Software Engineer,5-10 years,Under 1 year,0.1,"125,000-149,999",128143
30-34,30,Master's degree,Data Scientist,10-20 years,5-10 years,8,"125,000-149,999",128421
30-34,30,Master's degree,Data Scientist,3-5 years,2-3 years,2,"125,000-149,999",128765
30-34,30,Master's degree,Software Engineer,3-5 years,2-3 years,2,"125,000-149,999",130211
30-34,30,Doctoral degree,Data Scientist,5-10 years,4-5 years,4,"125,000-149,999",139274
30-34,30,Master's degree,Software Engineer,5-10 years,I do not use machine learning methods,0,"125,000-149,999",141475
30-34,30,Doctoral degree,Other,3-5 years,Under 1 year,0.6,"125,000-149,999",141601
30-34,30,Doctoral degree,Data Scientist,3-5 years,2-3 years,2,"125,000-149,999",141850
30-34,30,Master's degree,Data Scientist,5-10 years,3-4 years,3,"125,000-149,999",142970
30-34,30,Master's degree,Data Analyst,5-10 years,1-2 years,1,"125,000-149,999",143578
30-34,30,Doctoral degree,Data Scientist,10-20 years,2-3 years,3,"125,000-149,999",144713
30-34,30,Bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"125,000-149,999",148190
30-34,30,Master's degree,Data Scientist,3-5 years,2-3 years,3,"125,000-149,999",148454
30-34,31,Master's degree,Data Engineer,5-10 years,4-5 years,5,"125,000-149,999",128583
30-34,31,Master's degree,Data Scientist,5-10 years,5-10 years,7,"125,000-149,999",130814
30-34,31,Master's degree,Other,1-2 years,Under 1 year,0.2,"125,000-149,999",131663
30-34,31,Bachelor's degree,Data Scientist,10-20 years,4-5 years,5,"125,000-149,999",132577
30-34,31,Master's degree,Software Engineer,10-20 years,Under 1 year,0.6,"125,000-149,999",134308
30-34,31,Doctoral degree,Machine Learning Engineer,10-20 years,5-10 years,5,"125,000-149,999",137461
30-34,31,Master's degree,Data Scientist,5-10 years,5-10 years,6,"125,000-149,999",142488
30-34,31,Doctoral degree,Data Scientist,5-10 years,4-5 years,5,"125,000-149,999",147735
30-34,32,Master's degree,Other,5-10 years,1-2 years,1,"125,000-149,999",127135
30-34,32,Master's degree,Data Scientist,3-5 years,1-2 years,2,"125,000-149,999",131146
30-34,32,Master's degree,Data Scientist,3-5 years,1-2 years,1,"125,000-149,999",133807
30-34,32,Master's degree,Software Engineer,10-20 years,Under 1 year,0.4,"125,000-149,999",134722
30-34,32,Master's degree,Research Scientist,5-10 years,4-5 years,5,"125,000-149,999",136390
30-34,32,Master's degree,Product/Project Manager,10-20 years,5-10 years,7,"125,000-149,999",138930
30-34,32,Doctoral degree,Data Scientist,5-10 years,4-5 years,4,"125,000-149,999",140320
30-34,32,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,5,"125,000-149,999",142803
30-34,32,Doctoral degree,Data Scientist,5-10 years,2-3 years,2,"125,000-149,999",143719
30-34,32,Master's degree,Other,5-10 years,5-10 years,7,"125,000-149,999",148409
30-34,33,Master's degree,Research Scientist,5-10 years,4-5 years,4,"125,000-149,999",126790
30-34,33,Master's degree,Research Scientist,5-10 years,4-5 years,4,"125,000-149,999",129173
30-34,33,Master's degree,Machine Learning Engineer,5-10 years,3-4 years,4,"125,000-149,999",131261
30-34,33,Some college/university study without earning a bachelor's degree,Other,3-5 years,I do not use machine learning methods,0,"125,000-149,999",133552
30-34,33,Master's degree,Data Scientist,3-5 years,4-5 years,5,"125,000-149,999",138328
30-34,33,Doctoral degree,Statistician,10-20 years,I do not use machine learning methods,0,"125,000-149,999",139022
30-34,33,Doctoral degree,Research Scientist,3-5 years,Under 1 year,0.7,"125,000-149,999",140527
30-34,33,Master's degree,Data Engineer,5-10 years,Under 1 year,0.2,"125,000-149,999",145305
30-34,34,Master's degree,Product/Project Manager,3-5 years,2-3 years,2,"125,000-149,999",126835
30-34,34,Master's degree,Data Engineer,10-20 years,4-5 years,5,"125,000-149,999",132988
30-34,34,Master's degree,Data Engineer,5-10 years,1-2 years,1,"125,000-149,999",135762
30-34,34,Doctoral degree,Data Scientist,10-20 years,4-5 years,4,"125,000-149,999",136056
30-34,34,Master's degree,Data Scientist,10-20 years,4-5 years,5,"125,000-149,999",140543
30-34,34,Doctoral degree,Data Scientist,5-10 years,4-5 years,4,"125,000-149,999",142502
30-34,34,Some college/university study without earning a bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"125,000-149,999",144844
30-34,34,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,9,"125,000-149,999",146737
30-34,34,Bachelor's degree,Data Scientist,5-10 years,5-10 years,7,"125,000-149,999",146870
30-34,34,Doctoral degree,Data Scientist,10-20 years,10-20 years,12,"125,000-149,999",147589
30-34,33,Doctoral degree,Other,3-5 years,Under 1 year,0.3,"15,000-19,999",18403
30-34,30,Master's degree,Data Scientist,5-10 years,5-10 years,7,"150,000-199,999",152382
30-34,30,Master's degree,Machine Learning Engineer,3-5 years,3-4 years,3,"150,000-199,999",158555
30-34,30,Master's degree,Data Scientist,10-20 years,5-10 years,6,"150,000-199,999",161790
30-34,30,Master's degree,Data Scientist,5-10 years,5-10 years,5,"150,000-199,999",161863
30-34,30,Master's degree,Business Analyst,5-10 years,5-10 years,6,"150,000-199,999",164317
30-34,30,Bachelor's degree,Software Engineer,3-5 years,1-2 years,2,"150,000-199,999",167491
30-34,30,Master's degree,Machine Learning Engineer,3-5 years,4-5 years,5,"150,000-199,999",175537
30-34,30,Master's degree,Data Scientist,10-20 years,5-10 years,7,"150,000-199,999",177339
30-34,30,Master's degree,Other,10-20 years,Under 1 year,0.7,"150,000-199,999",179104
30-34,31,Doctoral degree,Data Scientist,10-20 years,5-10 years,9,"150,000-199,999",151283
30-34,31,Doctoral degree,Data Scientist,5-10 years,5-10 years,5,"150,000-199,999",158745
30-34,31,Doctoral degree,Data Scientist,5-10 years,4-5 years,4,"150,000-199,999",160490
30-34,31,Master's degree,Research Scientist,10-20 years,10-20 years,20,"150,000-199,999",166781
30-34,31,Bachelor's degree,Software Engineer,5-10 years,Under 1 year,0.4,"150,000-199,999",168729
30-34,31,Master's degree,Data Analyst,< 1 years,Under 1 year,0.9,"150,000-199,999",171526
30-34,31,Master's degree,Product/Project Manager,5-10 years,4-5 years,4,"150,000-199,999",182495
30-34,31,Master's degree,Data Scientist,3-5 years,2-3 years,2,"150,000-199,999",193062
30-34,31,Master's degree,Other,1-2 years,Under 1 year,0.6,"150,000-199,999",196305
30-34,31,Doctoral degree,Data Scientist,5-10 years,5-10 years,10,"150,000-199,999",196513
30-34,31,Professional degree,Data Scientist,5-10 years,5-10 years,10,"150,000-199,999",197442
30-34,31,Master's degree,Data Scientist,5-10 years,5-10 years,5,"150,000-199,999",198872
30-34,32,Bachelor's degree,Data Scientist,5-10 years,5-10 years,7,"150,000-199,999",151806
30-34,32,Master's degree,Data Scientist,10-20 years,5-10 years,6,"150,000-199,999",157785
30-34,32,Doctoral degree,Data Scientist,10-20 years,3-4 years,4,"150,000-199,999",158028
30-34,32,Master's degree,Other,5-10 years,5-10 years,10,"150,000-199,999",162647
30-34,32,Master's degree,Data Scientist,3-5 years,4-5 years,5,"150,000-199,999",164895
30-34,32,Doctoral degree,Research Scientist,< 1 years,I do not use machine learning methods,0,"150,000-199,999",168190
30-34,32,Master's degree,Data Scientist,5-10 years,5-10 years,9,"150,000-199,999",190529
30-34,33,Master's degree,Data Scientist,3-5 years,2-3 years,3,"150,000-199,999",159593
30-34,34,Doctoral degree,Research Scientist,5-10 years,3-4 years,3,"150,000-199,999",155259
30-34,34,Bachelor's degree,Business Analyst,5-10 years,2-3 years,2,"150,000-199,999",160367
30-34,34,Master's degree,Data Scientist,5-10 years,4-5 years,4,"150,000-199,999",168869
30-34,34,Doctoral degree,Data Scientist,3-5 years,4-5 years,4,"150,000-199,999",172017
30-34,34,Master's degree,Data Scientist,10-20 years,3-4 years,4,"150,000-199,999",173652
30-34,34,Doctoral degree,Data Scientist,10-20 years,4-5 years,5,"150,000-199,999",179232
30-34,34,Master's degree,Data Scientist,5-10 years,4-5 years,5,"150,000-199,999",182851
30-34,34,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,10,"150,000-199,999",190853
30-34,34,Master's degree,Product/Project Manager,1-2 years,I do not use machine learning methods,0,"150,000-199,999",198554
30-34,33,Master's degree,Data Analyst,5-10 years,2-3 years,2,"20,000-24,999",21048
30-34,30,Master's degree,Data Scientist,5-10 years,5-10 years,7,"200,000-249,999",215452
30-34,30,Master's degree,Data Scientist,5-10 years,2-3 years,2,"200,000-249,999",227005
30-34,30,Master's degree,Software Engineer,5-10 years,1-2 years,2,"200,000-249,999",233907
30-34,30,Doctoral degree,Data Scientist,10-20 years,4-5 years,5,"200,000-249,999",243048
30-34,30,Master's degree,Machine Learning Engineer,5-10 years,3-4 years,3,"200,000-249,999",243503
30-34,31,Bachelor's degree,Data Scientist,3-5 years,4-5 years,4,"200,000-249,999",209642
30-34,32,Doctoral degree,Other,10-20 years,1-2 years,1,"200,000-249,999",248615
30-34,33,Master's degree,Data Scientist,1-2 years,1-2 years,1,"200,000-249,999",212598
30-34,33,Master's degree,Data Scientist,10-20 years,10-20 years,12,"200,000-249,999",216017
30-34,34,Some college/university study without earning a bachelor's degree,Other,5-10 years,2-3 years,2,"200,000-249,999",210858
30-34,30,Some college/university study without earning a bachelor's degree,Other,1-2 years,Under 1 year,0.9,"25,000-29,999",29054
30-34,32,Bachelor's degree,Other,< 1 years,Under 1 year,0.0,"25,000-29,999",26197
30-34,30,Master's degree,Research Scientist,5-10 years,5-10 years,5,"250,000-299,999",295480
30-34,32,Master's degree,Machine Learning Engineer,5-10 years,3-4 years,4,"250,000-299,999",251474
30-34,33,Master's degree,Software Engineer,5-10 years,5-10 years,5,"250,000-299,999",276597
30-34,33,Master's degree,Product/Project Manager,5-10 years,I do not use machine learning methods,0,"250,000-299,999",278694
30-34,34,Bachelor's degree,Data Scientist,< 1 years,Under 1 year,0.4,"3,000-3,999",3381
30-34,31,Doctoral degree,Research Scientist,3-5 years,1-2 years,1,"30,000-39,999",34031
30-34,30,Doctoral degree,Software Engineer,10-20 years,4-5 years,5,"300,000-500,000",321877
30-34,31,Master's degree,Data Scientist,5-10 years,10-20 years,19,"300,000-500,000",355906
30-34,31,Doctoral degree,Data Scientist,10-20 years,4-5 years,5,"300,000-500,000",405454
30-34,31,Bachelor's degree,Data Scientist,10-20 years,5-10 years,7,"300,000-500,000",423276
30-34,33,Doctoral degree,Product/Project Manager,10-20 years,5-10 years,6,"300,000-500,000",386001
30-34,33,Master's degree,Data Scientist,10-20 years,5-10 years,10,"300,000-500,000",455027
30-34,30,Bachelor's degree,Business Analyst,1-2 years,1-2 years,2,"40,000-49,999",49879
30-34,31,Bachelor's degree,Other,1-2 years,I do not use machine learning methods,0,"40,000-49,999",47962
30-34,31,Some college/university study without earning a bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"40,000-49,999",49369
30-34,32,Master's degree,Business Analyst,1-2 years,1-2 years,2,"40,000-49,999",45788
30-34,32,Master's degree,Software Engineer,5-10 years,1-2 years,1,"40,000-49,999",48386
30-34,33,Doctoral degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"40,000-49,999",44722
30-34,33,Bachelor's degree,Other,I have never written code,,,"40,000-49,999",47158
30-34,30,Doctoral degree,Research Scientist,5-10 years,2-3 years,2,"5,000-7,499",5037
30-34,31,Master's degree,Data Scientist,5-10 years,1-2 years,2,"5,000-7,499",7976
30-34,33,Bachelor's degree,Other,< 1 years,Under 1 year,0.3,"5,000-7,499",5696
30-34,30,Doctoral degree,Research Scientist,10-20 years,2-3 years,2,"50,000-59,999",52211
30-34,30,Master's degree,Data Analyst,3-5 years,Under 1 year,0.7,"50,000-59,999",55712
30-34,31,Bachelor's degree,Other,1-2 years,Under 1 year,0.7,"50,000-59,999",57695
30-34,32,Master's degree,Business Analyst,5-10 years,2-3 years,2,"50,000-59,999",50564
30-34,32,Doctoral degree,Research Scientist,5-10 years,Under 1 year,0.7,"50,000-59,999",51689
30-34,32,Master's degree,Other,1-2 years,1-2 years,2,"50,000-59,999",59899
30-34,33,Master's degree,Data Analyst,5-10 years,Under 1 year,0.4,"50,000-59,999",51422
30-34,34,Doctoral degree,Other,5-10 years,Under 1 year,0.5,"50,000-59,999",52819
30-34,34,Master's degree,Business Analyst,1-2 years,Under 1 year,0.7,"50,000-59,999",57589
30-34,30,Master's degree,Other,1-2 years,Under 1 year,0.2,"60,000-69,999",68768
30-34,30,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",68785
30-34,31,Master's degree,Other,3-5 years,I do not use machine learning methods,0,"60,000-69,999",62197
30-34,31,Doctoral degree,Machine Learning Engineer,3-5 years,2-3 years,3,"60,000-69,999",68056
30-34,32,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"60,000-69,999",61490
30-34,33,Bachelor's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",61919
30-34,33,Master's degree,Data Scientist,3-5 years,1-2 years,1,"60,000-69,999",66123
30-34,33,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"60,000-69,999",67191
30-34,33,Master's degree,Business Analyst,1-2 years,I do not use machine learning methods,0,"60,000-69,999",67306
30-34,34,Master's degree,Data Analyst,1-2 years,1-2 years,2,"60,000-69,999",60461
30-34,34,Doctoral degree,Other,< 1 years,Under 1 year,0.1,"60,000-69,999",60703
30-34,34,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"60,000-69,999",61150
